case,stat,degree,alpha,r2_value
cloud_timesteps,mean,7,0.0009079545772236219,0.9869555307488087
cloud_timesteps,mean,7,0.0010838949660272655,0.9858393266411303
cloud_timesteps,mean,7,0.0012939284925152128,0.9845694691224418
cloud_timesteps,mean,7,0.0015446616104134332,0.9829358913425658
cloud_timesteps,mean,7,0.0018439809498645623,0.9808354829583077
cloud_timesteps,mean,7,0.0022013013857147146,0.9781283734304704
cloud_timesteps,mean,7,0.002627862175639846,0.9749398237332233
cloud_timesteps,mean,7,0.003137080482923729,0.9715930332676015
cloud_timesteps,mean,7,0.0037449734036925936,0.9684274805717301
cloud_timesteps,mean,7,0.0044706617731700244,0.9647656601767794
cloud_timesteps,mean,7,0.005336971597816022,0.9596929456832901
cloud_timesteps,mean,7,0.006371152030966143,0.9545428206472673
cloud_timesteps,mean,7,0.0076057324753788695,0.9511297278597193
cloud_timesteps,mean,7,0.009079545772236217,0.9458430849914998
cloud_timesteps,mean,7,0.010838949660272662,0.9392592744322086
cloud_timesteps,mean,7,0.012939284925152129,0.9325838542583597
cloud_timesteps,mean,7,0.01544661610413434,0.9257373222429731
cloud_timesteps,mean,7,0.018439809498645623,0.9169046441079853
cloud_timesteps,mean,7,0.022013013857147146,0.9090225490065972
cloud_timesteps,mean,7,0.026278621756398474,0.9001441421261976
cloud_timesteps,mean,7,0.03137080482923729,0.8903901702902146
cloud_timesteps,mean,7,0.03744973403692594,0.8786511108743115
cloud_timesteps,mean,7,0.04470661773170027,0.864896476646208
cloud_timesteps,mean,7,0.05336971597816022,0.8566314873743078
cloud_timesteps,mean,7,0.0637115203096614,0.8492821038901675
cloud_timesteps,mean,7,0.0760573247537887,0.840429961096025
cloud_timesteps,mean,7,0.09079545772236218,0.8297839281468399
cloud_timesteps,mean,7,0.10838949660272666,0.8170105795042636
cloud_timesteps,mean,7,0.12939284925152128,0.8017294012643246
cloud_timesteps,mean,7,0.15446616104134347,0.7835237635531073
cloud_timesteps,mean,7,0.18439809498645623,0.761961829825603
cloud_timesteps,mean,7,0.22013013857147148,0.736614862024801
cloud_timesteps,mean,7,0.26278621756398485,0.7070858522911314
cloud_timesteps,mean,7,0.3137080482923729,0.6730368922413206
cloud_timesteps,mean,7,0.37449734036925936,0.634209969833204
cloud_timesteps,mean,7,0.44706617731700243,0.5904354042597
cloud_timesteps,mean,7,0.5336971597816021,0.5414057102473804
cloud_timesteps,mean,7,0.6371152030966143,0.4869967498869734
cloud_timesteps,mean,7,0.760573247537887,0.4336240357527033
cloud_timesteps,mean,8,0.000760573247537887,0.9876231099397957
cloud_timesteps,mean,8,0.0009079545772236219,0.9866320314104027
cloud_timesteps,mean,8,0.0010838949660272655,0.9856368487373022
cloud_timesteps,mean,8,0.0012939284925152128,0.9845323716931856
cloud_timesteps,mean,8,0.0015446616104134332,0.9831101807861777
cloud_timesteps,mean,8,0.0018439809498645623,0.9813023409194406
cloud_timesteps,mean,8,0.0022013013857147146,0.9789909552181365
cloud_timesteps,mean,8,0.002627862175639846,0.9759649725046241
cloud_timesteps,mean,8,0.003137080482923729,0.9726611380342423
cloud_timesteps,mean,8,0.0037449734036925936,0.9688075756211896
cloud_timesteps,mean,8,0.0044706617731700244,0.964801464186927
cloud_timesteps,mean,8,0.005336971597816022,0.9597495038619741
cloud_timesteps,mean,8,0.006371152030966143,0.9546404055618091
cloud_timesteps,mean,8,0.0076057324753788695,0.9511496465563406
cloud_timesteps,mean,8,0.009079545772236217,0.9458731407458639
cloud_timesteps,mean,8,0.010838949660272662,0.9393168815578854
cloud_timesteps,mean,8,0.012939284925152129,0.9326683499465643
cloud_timesteps,mean,8,0.01544661610413434,0.9258542538885639
cloud_timesteps,mean,8,0.018439809498645623,0.9169032946761838
cloud_timesteps,mean,8,0.022013013857147146,0.9087588771687095
cloud_timesteps,mean,8,0.026278621756398474,0.8996081949585971
cloud_timesteps,mean,8,0.03137080482923729,0.8897735920394503
cloud_timesteps,mean,8,0.03744973403692594,0.8790358658458979
cloud_timesteps,mean,8,0.04470661773170027,0.86614793016265
cloud_timesteps,mean,8,0.05336971597816022,0.8566328540316344
cloud_timesteps,mean,8,0.0637115203096614,0.8492854607659638
cloud_timesteps,mean,8,0.0760573247537887,0.840435696443242
cloud_timesteps,mean,8,0.09079545772236218,0.8297911044068244
cloud_timesteps,mean,8,0.10838949660272666,0.8170127167357185
cloud_timesteps,mean,8,0.12939284925152128,0.8017294198546849
cloud_timesteps,mean,8,0.15446616104134347,0.783523776370202
cloud_timesteps,mean,8,0.18439809498645623,0.7619618362928419
cloud_timesteps,mean,8,0.22013013857147148,0.7366148641726251
cloud_timesteps,mean,8,0.26278621756398485,0.7070858523851721
cloud_timesteps,mean,8,0.3137080482923729,0.673036892076483
cloud_timesteps,mean,8,0.37449734036925936,0.634209969652365
cloud_timesteps,mean,8,0.44706617731700243,0.5904353998569102
cloud_timesteps,mean,8,0.5336971597816021,0.5414057100902054
cloud_timesteps,mean,8,0.6371152030966143,0.48699674977005064
cloud_timesteps,mean,8,0.760573247537887,0.4336240356842425
cloud_timesteps,p05,1,0.000760573247537887,0.8411137824279498
cloud_timesteps,p05,1,0.0009079545772236219,0.8410670039811473
cloud_timesteps,p05,1,0.0010838949660272655,0.8410110856661749
cloud_timesteps,p05,1,0.0012939284925152128,0.8409442245524482
cloud_timesteps,p05,1,0.0015446616104134332,0.8408642549292223
cloud_timesteps,p05,1,0.0018439809498645623,0.8407685723884264
cloud_timesteps,p05,1,0.0022013013857147146,0.840654040866092
cloud_timesteps,p05,1,0.002627862175639846,0.8405168783897451
cloud_timesteps,p05,1,0.003137080482923729,0.8403525160787843
cloud_timesteps,p05,1,0.0037449734036925936,0.8401554233708779
cloud_timesteps,p05,1,0.0044706617731700244,0.8399188903801541
cloud_timesteps,p05,1,0.005336971597816022,0.8396347555779482
cloud_timesteps,p05,1,0.006371152030966143,0.8392930634284248
cloud_timesteps,p05,1,0.0076057324753788695,0.8388816319683527
cloud_timesteps,p05,1,0.009079545772236217,0.8383855043077334
cloud_timesteps,p05,1,0.010838949660272662,0.8377862503308658
cloud_timesteps,p05,1,0.012939284925152129,0.8370610751875627
cloud_timesteps,p05,1,0.01544661610413434,0.836181679257322
cloud_timesteps,p05,1,0.018439809498645623,0.8351128001477996
cloud_timesteps,p05,1,0.022013013857147146,0.8338103514266498
cloud_timesteps,p05,1,0.026278621756398474,0.832219056516551
cloud_timesteps,p05,1,0.03137080482923729,0.8302694622756281
cloud_timesteps,p05,1,0.03744973403692594,0.8278742102146283
cloud_timesteps,p05,1,0.04470661773170027,0.824923452142146
cloud_timesteps,p05,1,0.05336971597816022,0.8212793331944773
cloud_timesteps,p05,1,0.0637115203096614,0.8167695444070188
cloud_timesteps,p05,1,0.0760573247537887,0.8111800866838007
cloud_timesteps,p05,1,0.09079545772236218,0.8042476015000156
cloud_timesteps,p05,1,0.10838949660272666,0.7956519078891919
cloud_timesteps,p05,1,0.12939284925152128,0.7842557965536995
cloud_timesteps,p05,1,0.15446616104134347,0.7701440738244367
cloud_timesteps,p05,1,0.18439809498645623,0.7530120392885772
cloud_timesteps,p05,1,0.22013013857147148,0.7323214981507208
cloud_timesteps,p05,1,0.26278621756398485,0.7072259569908507
cloud_timesteps,p05,1,0.3137080482923729,0.676968407087347
cloud_timesteps,p05,1,0.37449734036925936,0.641409092931815
cloud_timesteps,p05,1,0.44706617731700243,0.5996006381197503
cloud_timesteps,p05,1,0.5336971597816021,0.5505325181993823
cloud_timesteps,p05,1,0.6371152030966143,0.4947251396832975
cloud_timesteps,p05,1,0.760573247537887,0.43655858618086146
cloud_timesteps,p05,2,0.000760573247537887,0.9761464518571836
cloud_timesteps,p05,2,0.0009079545772236219,0.9755489976692362
cloud_timesteps,p05,2,0.0010838949660272655,0.9748154925051217
cloud_timesteps,p05,2,0.0012939284925152128,0.97391370536204
cloud_timesteps,p05,2,0.0015446616104134332,0.9727932483511161
cloud_timesteps,p05,2,0.0018439809498645623,0.9714107294492637
cloud_timesteps,p05,2,0.0022013013857147146,0.9696880856675466
cloud_timesteps,p05,2,0.002627862175639846,0.9675283100751191
cloud_timesteps,p05,2,0.003137080482923729,0.9648143365707204
